COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,FRACTION_POP,WEIGHTED_DEATHS_100K,AGE_MIDPOINT,WEIGHTED_AGE,GENDER_RATIO
Brazil,BRA,FMLE,YEARS30-34,0.040936341,2.734547554,32,1.3099629,0.966610878
Brazil,BRA,FMLE,YEARS35-39,0.041041145,4.288799696,37,1.518522381,0.966610878
Brazil,BRA,FMLE,YEARS40-44,0.036867556,5.364229425,42,1.54843736,0.966610878
Brazil,BRA,FMLE,YEARS45-49,0.033081966,7.026609566,47,1.554852399,0.966610878
Brazil,BRA,FMLE,YEARS50-54,0.031241189,9.8628435,52,1.62454185,0.966610878
Brazil,BRA,FMLE,YEARS55-59,0.028185077,13.58802575,57,1.606549404,0.966610878
Brazil,BRA,FMLE,YEARS5-9,0.033861399,0.38263381,7,0.237029794,0.966610878
Brazil,BRA,FMLE,YEARS60-64,0.023122592,17.03210155,62,1.433600728,0.966610878
Brazil,BRA,FMLE,YEARS65-69,0.018362885,20.3515852,67,1.23031328,0.966610878
Brazil,BRA,FMLE,YEARS70-74,0.013317936,23.85775066,72,0.958891396,0.966610878
Brazil,BRA,FMLE,YEARS75-79,0.009161205,26.37602656,77,0.705412818,0.966610878
Brazil,BRA,FMLE,YEARS80-84,0.006361355,29.51350844,82,0.521631144,0.966610878
Brazil,BRA,FMLE,YEARS85PLUS,0.005469181,61.65298254,88,0.48128792,0.966610878
Brazil,BRA,MLE,YEARS0-1,0.007059007,9.293888417,0.5,0.003529503,0.966610878
Brazil,BRA,MLE,YEARS10-14,0.036612877,0.911660628,12,0.439354519,0.966610878
Brazil,BRA,MLE,YEARS1-4,0.028260652,0.949557905,2.5,0.07065163,0.966610878
Brazil,BRA,MLE,YEARS15-19,0.039723545,7.444192275,17,0.67530026,0.966610878
Brazil,BRA,MLE,YEARS20-24,0.041279336,10.46431167,22,0.908145391,0.966610878
Brazil,BRA,MLE,YEARS25-29,0.04047434,9.07434704,27,1.092807181,0.966610878
Brazil,BRA,MLE,YEARS30-34,0.040858752,8.756030598,32,1.307480071,0.966610878
Brazil,BRA,MLE,YEARS35-39,0.040330132,9.87281636,37,1.492214891,0.966610878
Brazil,BRA,MLE,YEARS40-44,0.035647966,10.65874172,42,1.497214557,0.966610878
Brazil,BRA,MLE,YEARS45-49,0.031351021,13.06397064,47,1.473498009,0.966610878
Brazil,BRA,MLE,YEARS50-54,0.028940701,17.17920004,52,1.504916446,0.966610878
Brazil,BRA,MLE,YEARS55-59,0.025476495,22.45753028,57,1.452160211,0.966610878
Brazil,BRA,MLE,YEARS5-9,0.03539358,0.516746266,7,0.247755059,0.966610878
Brazil,BRA,MLE,YEARS60-64,0.020258857,26.84501125,62,1.256049127,0.966610878
Brazil,BRA,MLE,YEARS65-69,0.015451696,30.2080656,67,1.035263629,0.966610878
Brazil,BRA,MLE,YEARS70-74,0.010589178,31.36620523,72,0.762420842,0.966610878
Brazil,BRA,MLE,YEARS75-79,0.006737931,29.27293924,77,0.518820652,0.966610878
Brazil,BRA,MLE,YEARS80-84,0.004210292,28.24095139,82,0.345243905,0.966610878
Brazil,BRA,MLE,YEARS85PLUS,0.002854643,42.37203472,88,0.251208571,0.966610878
Canada,CAN,FMLE,YEARS0-1,0.005160696,1.899136185,0.5,0.002580348,0.984933705
Canada,CAN,FMLE,YEARS10-14,0.025692604,0.17727897,12,0.308311253,0.984933705
Canada,CAN,FMLE,YEARS1-4,0.020660052,0.198336502,2.5,0.051650131,0.984933705
Canada,CAN,FMLE,YEARS15-19,0.026157975,0.491769932,17,0.444685576,0.984933705
Canada,CAN,FMLE,YEARS20-24,0.031438342,0.789102379,22,0.69164352,0.984933705
Canada,CAN,FMLE,YEARS25-29,0.035589122,1.163764293,27,0.960906297,0.984933705
Canada,CAN,FMLE,YEARS30-34,0.034653863,1.427739172,32,1.108923628,0.984933705
Canada,CAN,FMLE,YEARS35-39,0.035053371,1.815764625,37,1.296974732,0.984933705
Canada,CAN,FMLE,YEARS40-44,0.032597011,2.555605626,42,1.369074443,0.984933705
Canada,CAN,FMLE,YEARS45-49,0.031729753,3.740937894,47,1.491298397,0.984933705
Canada,CAN,FMLE,YEARS50-54,0.033081039,6.374716179,52,1.720214018,0.984933705
Canada,CAN,FMLE,YEARS55-59,0.037062137,11.69681031,57,2.112541785,0.984933705
Canada,CAN,FMLE,YEARS5-9,0.025860549,0.121544583,7,0.181023846,0.984933705
Canada,CAN,FMLE,YEARS60-64,0.033661135,15.95201187,62,2.086990369,0.984933705
Canada,CAN,FMLE,YEARS65-69,0.028761565,20.52137661,67,1.927024853,0.984933705
Canada,CAN,FMLE,YEARS70-74,0.023740694,27.1569797,72,1.709329958,0.984933705
Canada,CAN,FMLE,YEARS75-79,0.016670508,31.70063759,77,1.283629099,0.984933705
Canada,CAN,FMLE,YEARS80-84,0.011857704,40.87587585,82,0.972331695,0.984933705
Canada,CAN,FMLE,YEARS85PLUS,0.014367043,138.1606712,88,1.264299804,0.984933705
